Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
Nexus,Wisla Krakow,7,16,20,22,0,0,Wisla Krakow
Winstrike,Budapest Five,10,16,16,11,16,9,Winstrike
Nexus,Giants,9,16,7,16,0,0,Giants
PACT,MBAPPEEK,16,11,16,7,0,0,PACT
SKADE,ALTERNATE aTTaX,11,16,16,14,16,5,SKADE
Control,Downfall,12,16,3,16,0,0,Downfall
Espada,SG.pro,16,1,16,7,0,0,Espada
Santos,Neverest,16,8,16,14,0,0,Santos
Bravos,SWS,16,3,6,16,14,16,SWS
9z,Havan Liberty,2,16,13,16,0,0,Havan Liberty
forZe,Wisla Krakow,16,14,16,19,10,16,Wisla Krakow
DUSTY,HaFi�,16,10,16,12,0,0,DUSTY
Espada,Apeks,16,13,16,11,0,0,Espada
SAW,Sprout,16,14,16,6,0,0,SAW
Gen.G,Envy,16,8,13,16,3,16,Envy
Nexus,Endpoint,7,16,7,16,0,0,Endpoint
HellRaisers,Secret,16,7,16,10,0,0,HellRaisers
Illuminar,Wisla Krakow,16,13,13,16,16,12,Illuminar
K23,Apeks,16,10,12,16,15,19,Apeks
Espada,x6tence,9,16,16,10,16,11,Espada
Dignitas,forZe,9,16,16,4,16,14,Dignitas
Medieval,atputies,16,7,16,14,0,0,Medieval
ECLOT,eSuba,16,6,6,16,6,16,eSuba
Apeks,Sangal,9,16,25,23,19,17,Apeks
K23,ex-ETHEREAL,19,15,16,11,0,0,K23
North,x6tence,13,16,8,16,0,0,x6tence
Espada,Lyngby Vikings,16,11,16,8,0,0,Espada
SJ,AGF,16,12,16,14,0,0,SJ
Neverest,Coscu Army,16,6,13,16,16,3,Neverest
Chaos,Evil Geniuses,16,11,6,16,16,11,Chaos
DETONA Pound,Santos,16,11,13,16,13,16,Santos
Wisla Krakow,PACT,16,10,16,11,0,0,Wisla Krakow
Endpoint,Secret,7,16,19,17,16,3,Endpoint
HellRaisers,Nexus,16,9,13,16,9,16,Nexus
ECLOT,Entropiq,10,16,12,16,0,0,Entropiq
SAW,forZe,16,13,19,16,0,0,SAW
Virtus.pro,OG,16,12,9,16,9,16,OG
Complexity,Vitality,11,16,7,16,0,0,Vitality
Illuminar,AVEZ,20,22,16,8,16,8,Illuminar
K23,Tricked,10,16,16,10,16,13,K23
Nexus,Lyngby Vikings,5,16,19,16,4,16,Lyngby Vikings
Sinners,eSuba,16,7,16,13,0,0,Sinners
G2,Natus Vincere,16,10,12,16,3,16,Natus Vincere
x6tence,VP.Prodigy,16,12,16,2,0,0,x6tence
Budapest Five,Sangal,11,16,7,16,0,0,Sangal
Wisla Krakow,Sprout,7,16,16,13,10,16,Sprout
BIG,MIBR,16,13,10,16,16,14,BIG
Invictus,TYLOO,4,16,6,16,0,0,TYLOO
ORDER,AVANT,12,16,16,9,16,10,ORDER
SKDC,Rise,12,16,16,11,12,16,Rise
GSG9,ex-Thunder Logic,16,10,22,20,0,0,GSG9
Imperial,Havan Liberty,16,12,16,11,0,0,Imperial
Liquid,Triumph,12,16,16,8,14,16,Triumph
Heroic,Vitality,7,16,19,15,12,16,Vitality
MAD Lions,fnatic,8,16,5,16,0,0,fnatic
MBAPPEEK,Copenhagen Flames,16,7,16,9,0,0,MBAPPEEK
Complexity,BIG,16,6,16,14,0,0,Complexity
SG.pro,K23,22,20,12,16,16,14,SG.pro
Gen.G,OG,6,16,9,16,0,0,OG
TYLOO,ViCi,17,19,14,16,0,0,ViCi
Galaxy Racer,ALTERNATE aTTaX,12,16,16,9,8,16,ALTERNATE aTTaX
AVANT,Renegades,17,19,10,16,0,0,Renegades
Santos,BOOM,5,16,5,16,0,0,BOOM
9z,Coscu Army,16,12,16,12,0,0,9z
Lyngby Vikings,Budapest Five,13,16,13,16,0,0,Budapest Five
Winstrike,LDLC,19,17,19,17,0,0,Winstrike
Astralis,Natus Vincere,9,16,9,16,0,0,Natus Vincere
forZe,MIBR,9,16,7,16,0,0,MIBR
ALTERNATE aTTaX,Hard Legion,16,11,16,11,0,0,ALTERNATE aTTaX
Copenhagen Flames,Giants,16,13,8,16,4,16,Giants
FaZe,G2,17,19,8,16,0,0,G2
SKADE,Galaxy Racer,16,14,16,2,0,0,SKADE
fnatic,Dignitas,16,6,16,14,0,0,fnatic
Giants,Cyber Legacy,10,16,16,8,16,8,Giants
MBAPPEEK,SJ,7,16,16,12,16,5,MBAPPEEK
SG.pro,Nexus,14,16,3,16,0,0,Nexus
ALTERNATE aTTaX,Heretics,16,10,16,11,0,0,ALTERNATE aTTaX
K23,Project X,16,9,16,10,0,0,K23
Espada,Galaxy Racer,16,14,16,5,0,0,Espada
SG.pro,PACT,26,28,8,16,0,0,PACT
ATK,Energy,16,8,16,6,0,0,ATK
Heretics,Nexus,5,16,16,11,10,16,Nexus
ALTERNATE aTTaX,Giants,13,16,19,22,0,0,Giants
Hard Legion,NAVI Junior,10,16,7,16,0,0,NAVI Junior
K23,Copenhagen Flames,16,11,20,22,12,16,Copenhagen Flames
SJ,SKADE,10,16,10,16,0,0,SKADE
Nexus,Giants,9,16,9,16,0,0,Giants
AVEZ,Project X,19,17,10,16,20,22,Project X
LDLC,MBAPPEEK,11,16,3,16,0,0,MBAPPEEK
GGPR,SKDC,14,16,16,13,16,10,GGPR
Yeah,GSG9,16,3,6,16,19,16,Yeah
Estral,STMN,19,16,9,16,16,5,Estral
ex-Thunder Logic,Revenant,16,9,16,8,0,0,ex-Thunder Logic
W7M,Havan Liberty,16,19,13,16,0,0,Havan Liberty
Infinity,Supremacy,16,14,16,10,0,0,Infinity
ALTERNATE aTTaX,PACT,20,22,7,16,0,0,PACT
SG.pro,Copenhagen Flames,12,16,16,12,16,12,SG.pro
Espada,Nexus,12,16,16,6,16,11,Espada
Movistar Riders,Winstrike,16,5,19,16,0,0,Movistar Riders
Galaxy Racer,K23,16,11,7,16,16,14,Galaxy Racer
Lilmix,Cyber Legacy,16,8,16,11,0,0,Lilmix
SKADE,Project X,22,25,16,10,16,9,SKADE
AGF,Apeks,13,16,16,10,16,12,AGF
LDLC,Giants,16,5,11,16,7,16,Giants
MBAPPEEK,Heretics,24,28,16,13,1,16,Heretics
Downfall,Fenrir,19,17,19,15,0,0,Downfall
Sylyx,Control,12,16,8,16,0,0,Control
AVEZ,SJ,16,3,7,16,11,16,SJ
Vaniity,Rise,8,16,9,16,0,0,Rise
Imperial,Havan Liberty,16,11,14,16,3,16,Havan Liberty
Triumph,TeamOne,16,13,16,5,0,0,Triumph
W7M,Paquet�,16,13,16,7,0,0,W7M
Sangal,Lyngby Vikings,19,17,10,16,16,13,Sangal
LDLC,Lilmix,16,10,16,14,0,0,LDLC
NIP,BIG,17,19,16,7,6,16,BIG
SJ,Galaxy Racer,16,13,9,16,11,16,Galaxy Racer
Project X,ALTERNATE aTTaX,2,16,9,16,0,0,ALTERNATE aTTaX
Budapest Five,hREDS,16,6,16,9,0,0,Budapest Five
mousesports,G2,12,16,16,12,9,16,G2
SG.pro,Heretics,7,16,16,4,16,7,SG.pro
LDLC,K23,13,16,16,19,0,0,K23
Giants,Espada,10,16,16,8,5,16,Espada
Copenhagen Flames,AVEZ,16,13,16,14,0,0,Copenhagen Flames
Izako Boars,SJ,16,11,16,13,0,0,Izako Boars
PACT,SKADE,16,7,5,16,16,12,PACT
Nexus,MBAPPEEK,16,14,19,16,0,0,Nexus
Havan Liberty,Royal Republic,16,1,16,9,0,0,Havan Liberty
9z,Isurus,16,5,16,3,0,0,9z
Rebirth,TeamOne,10,16,7,16,0,0,TeamOne
